WINNERS BRACKET,,
Player,Score,Link
MrPietrek,$476.000,https://youtu.be/zObNXCz18rY
Jandalf,$556.905,https://youtu.be/a_MJ8rpGlFM
Handford,$522.280,https://www.youtube.com/watch?v=luPBsXqb8ks
Rubikscuber,DNS,
Guanium,$611.735,https://www.youtube.com/watch?v=Bsu-NkpebpM
Dollar $ign,$504.710,https://youtu.be/OcYDQs7vwyA
LazyLizard,$545.520,https://www.youtube.com/watch?v=QmUMokMeh1A
MackanRules,$559.225,https://youtu.be/vr90PksluQ0
Chip,DNS,
kduel1,$525.285,https://youtu.be/yPm4WbbGBac?si=j28i1fIqf-rtyals
lenndoli,$478.125,https://www.youtube.com/watch?v=yo4L8KCx-xM
animal,$490.515,https://www.youtube.com/watch?v=_X67NpXfGc4
Mehalic POPs,$531.645,https://www.youtube.com/watch?v=JD2fN5H6Qv4
Darth Plague,$594.985,https://www.youtube.com/watch?v=y9vFr7T-F5A
Kapu,$515.035,https://www.youtube.com/watch?v=u-fdRK0JSko
mdrouge,DNS,
,,
LOSERS BRACKET,,
Player,Score,Link
Fraise,$1.188.375,https://www.youtube.com/watch?v=CR-RuH4X9bw
philia093,$648.140,https://www.youtube.com/watch?v=C9tkK2AeldE
Miro,$939.935,https://www.youtube.com/watch?v=tBVihotmzJk
meow,$644.345,https://www.youtube.com/watch?v=1XZuyeWuGlo
CatDet.,$966.265,https://www.youtube.com/watch?v=Mj6LhtJvCgE
MABO YT,$586.855,https://www.youtube.com/watch?v=AY23ej_Ykwg
Mostafa,DNS,
Poi,T4/$525.710,https://youtu.be/qBuHI8C7A44
Siy,$67.671.548,https://www.youtube.com/watch?v=6beT-va3R2U
ISAB,$655.810,https://www.youtube.com/watch?v=hw6NuE4PHE0
SecretId.,T4/$490.495,https://www.youtube.com/watch?v=7M0Fl6jMR1w
Dongyunboffin,DNS,
F7shGang,DNS,
Secno,$1.470.210,https://www.youtube.com/watch?v=2OAqgS6Yf1E
NekoLapis,$1.641.154,https://youtu.be/GkWTEc00H1k
Katabu,$694.550,https://www.youtube.com/watch?v=gzLi44YlSdc
